Joueur,Equipe,MJ,Min,Pts,Reb,As,Ro,Rd,2P%,3P%,TIRS%,LF%,TS%,St,Bl,To,Fo,Plus_Minus,Eval
Evan Devarenne,Stade Rochelais U21,21,16.0,2.5,3.0,0.2,0.8,2.2,47.8,-,47.8,53.3,49.4,0.2,0.7,1.0,1.1,-4.6,4.2
Vincente Couet,Caen U21,22,15.0,3.2,2.5,0.6,1.0,1.5,58.3,11.5,38.7,69.0,47.5,0.8,0.1,1.0,1.9,-4.1,4.1
Billel Machemachi,Blois U21,9,7.6,2.8,2.6,0.2,1.2,1.3,55.0,-,55.0,37.5,53.1,0.2,0.4,0.7,1.9,3.8,4.0
Cheick Diabate,Roanne U21,10,7.6,2.2,1.6,0.4,0.2,1.4,37.5,50.0,40.0,66.7,48.6,1.0,0.4,0.2,1.2,-0.1,4.0
Calvin Hamelrijk,Denain U21,17,19.1,3.6,3.6,0.9,1.8,1.9,53.2,0.0,47.2,42.9,47.5,0.5,0.1,2.2,2.5,-3.8,3.9
Aurelien Pomier,Denain U21,19,13.5,3.3,3.7,0.6,1.1,2.6,40.9,-,40.9,37.5,41.1,0.6,0.1,1.5,2.2,-1.9,3.9
Noa Raballand,Quimper U21,13,12.9,5.6,1.0,1.7,0.6,0.4,45.9,40.7,43.8,40.0,51.7,0.4,0.0,1.6,1.1,0.1,3.6
Eliott Ronque,Aix-Maurienne U21,9,16.4,3.1,1.8,0.6,0.9,0.9,54.2,0.0,48.1,50.0,48.7,0.3,0.3,0.8,2.9,-7.4,3.6
Gregory Da Silva,Stade Rochelais U21,4,17.0,4.8,2.0,0.8,1.0,1.0,60.0,28.6,36.8,50.0,47.8,0.5,0.0,1.2,2.8,-8.0,3.5
Loris Duponq,Rouen U21,23,16.9,4.8,1.7,0.4,0.4,1.3,50.7,31.4,44.1,66.7,51.1,0.3,0.0,1.1,2.3,-2.5,3.5
Gregory Winling,AS Alsace U21,8,12.0,2.2,2.8,0.4,1.4,1.4,36.8,0.0,30.4,50.0,33.9,0.2,1.4,1.0,2.2,-3.1,3.5
Mathis Raffe,Caen U21,7,11.9,3.3,1.6,0.6,0.6,1.0,47.4,0.0,45.0,62.5,48.9,0.9,0.0,0.9,1.0,-0.9,3.4
Lény Cartier,JA Vichy U21,3,9.0,2.7,1.0,0.0,0.3,0.7,33.3,100.0,50.0,75.0,69.4,0.7,0.0,0.0,1.7,-9.7,3.3
Heaven Kabongo,Roanne U21,21,11.7,2.5,2.3,0.4,1.0,1.4,51.4,0.0,50.0,66.7,55.0,0.3,0.1,1.1,1.7,-3.2,3.3
Marceau Thomassin,Champagne Basket U21,21,15.6,4.1,2.3,1.7,0.8,1.5,47.9,19.1,33.7,61.9,41.3,0.5,0.0,2.1,1.0,-6.7,3.2
Maxime Lejal,Blois U21,4,6.5,2.0,0.8,1.0,0.2,0.5,-,66.7,66.7,100.0,103.1,0.2,0.0,0.5,1.0,-0.5,3.2
Lenny Leogane,Champagne Basket U21,22,23.3,6.1,1.7,2.8,0.3,1.4,33.3,23.9,30.4,62.3,39.1,1.0,0.2,3.2,1.8,-11.0,3.1
Nael Pehoua,Quimper U21,7,12.4,4.3,1.3,1.0,0.6,0.7,30.8,35.3,33.3,57.1,45.3,0.4,0.1,0.7,0.3,2.0,3.1
Djenaly Tchicamboud,Orléans U21,16,17.9,3.7,1.9,1.3,0.6,1.3,39.5,18.2,34.7,74.2,47.1,0.9,0.2,2.4,2.1,-2.9,3.1
Marc Wansilabo,Evreux U21,21,12.8,3.0,2.2,0.8,0.6,1.6,46.0,15.4,35.5,54.5,39.6,0.8,0.1,1.2,1.3,-1.7,3.1
Wayan Lessort,Poitiers U21,5,17.2,3.8,2.8,1.4,0.8,2.0,40.0,26.3,29.2,0.0,38.2,0.2,0.0,1.4,2.2,-0.2,3.0
Mathis Broudic,Quimper U21,7,12.0,3.7,0.6,1.3,0.1,0.4,20.0,53.8,44.4,100.0,67.3,0.4,0.0,1.6,1.0,-5.1,3.0
Alix Faivre-Perignon,AS Alsace U21,4,14.5,2.8,2.8,0.2,0.8,2.0,33.3,25.0,30.8,100.0,39.6,1.0,0.0,1.5,1.5,10.5,3.0
Keziah Decaen,Caen U21,22,17.6,2.3,1.4,1.4,0.4,1.0,36.4,18.2,30.3,70.0,36.2,1.0,0.0,0.9,1.2,-4.2,3.0
Elwan Dubois,Stade Rochelais U21,7,11.6,1.9,1.4,0.4,0.4,1.0,40.0,25.0,35.7,50.0,41.2,1.1,0.6,0.9,1.9,-3.4,3.0
Mathieu Mondesir,Evreux U21,1,7.0,0.0,2.0,1.0,0.0,2.0,-,-,-,-,-,0.0,0.0,0.0,3.0,-8.0,3.0
Axel Votte,Orléans U21,16,13.4,5.6,1.0,0.3,0.3,0.7,50.0,28.6,36.4,66.7,47.6,0.6,0.1,0.9,1.3,3.1,2.9
Genuis Kamga,Caen U21,18,12.1,2.1,2.4,0.5,0.8,1.6,34.1,100.0,35.7,66.7,40.3,0.5,0.5,1.4,2.1,-5.4,2.9
Sam Tomasini,Aix-Maurienne U21,4,9.8,1.8,2.8,0.0,0.8,2.0,25.0,100.0,33.3,-,38.9,0.8,0.2,1.2,1.2,-1.0,2.8
Quentin Gonda,Denain U21,11,15.9,5.4,1.9,1.7,0.5,1.4,50.0,22.0,32.3,50.0,40.9,0.5,0.0,2.1,2.5,-4.2,2.7
Killian Gardie,Caen U21,13,12.7,2.7,2.2,0.7,0.7,1.5,52.0,10.5,34.1,75.0,38.2,0.6,0.0,1.2,1.2,-6.4,2.7
Hanaiki Doom,Antibes U21,3,10.7,2.3,2.0,0.3,1.0,1.0,50.0,-,50.0,50.0,50.9,0.3,0.0,1.0,1.7,-7.7,2.7
Abdou Diop,Roanne U21,3,5.3,1.7,1.7,0.0,0.7,1.0,33.3,50.0,40.0,-,50.0,0.3,0.0,0.0,0.3,5.0,2.7
David Moresta,Denain U21,3,11.3,1.7,2.3,1.3,0.0,2.3,66.7,0.0,40.0,50.0,42.5,0.3,0.0,1.7,1.7,-2.7,2.7
Yoshua Mpaka,Poitiers U21,19,8.0,2.2,1.7,0.3,0.6,1.1,59.4,-,59.4,30.0,56.3,0.2,0.1,0.7,1.4,-1.1,2.6
Yanis Thiam,Nantes U21,18,16.4,4.8,1.9,0.9,0.5,1.4,26.8,30.0,28.4,60.0,36.8,0.3,0.3,1.1,1.0,0.1,2.5
Deyaan Moutouallaguin-Clain,Aix-Maurienne U21,22,13.0,3.2,1.9,0.3,0.5,1.5,40.9,30.0,36.5,72.7,45.0,0.1,0.1,0.9,1.1,-0.6,2.5
Benjamin Belami,Aix-Maurienne U21,21,9.5,2.4,0.8,1.0,0.2,0.6,44.1,20.0,38.6,83.3,49.1,0.5,0.0,1.0,1.6,0.3,2.5
Noé Diallo,Caen U21,4,14.0,1.5,1.2,2.2,0.5,0.8,42.9,0.0,37.5,-,37.5,0.0,0.0,1.2,2.0,-2.5,2.5
Adrien Roman-Charmois,Quimper U21,15,10.7,2.3,1.7,0.2,0.4,1.3,45.8,25.0,40.6,54.5,46.1,0.5,0.1,0.7,1.9,-2.4,2.4
Paolo Romain,Rouen U21,23,11.8,1.7,1.5,1.3,0.7,0.8,38.5,17.5,22.6,64.3,33.8,0.8,0.0,1.0,1.2,-3.3,2.4
Noah Georges,JA Vichy U21,3,13.3,4.3,1.7,0.7,0.3,1.3,40.0,15.4,22.2,75.0,32.9,1.0,0.0,0.3,3.7,7.3,2.3
Mattias Szanyiel,JA Vichy U21,21,10.4,3.1,1.5,0.7,0.4,1.1,46.4,25.6,33.8,60.0,43.1,0.4,0.0,1.1,1.1,-2.1,2.3
Julien Chery,Rouen U21,12,6.3,1.8,1.1,0.6,0.3,0.8,33.3,31.6,31.8,100.0,48.1,0.4,0.1,0.4,1.4,0.3,2.3
Marvynn Traore,Blois U21,8,7.4,3.0,0.5,0.4,0.1,0.4,81.8,14.3,55.6,42.9,56.9,0.2,0.1,0.5,1.0,0.8,2.2
Arthur Perret,Saint-Chamond U21,6,10.3,2.5,0.5,1.5,0.2,0.3,50.0,18.2,31.6,20.0,35.4,0.2,0.5,0.2,2.0,1.8,2.2
Elimane Sene,Nantes U21,6,7.0,1.8,1.0,0.3,0.0,1.0,60.0,33.3,50.0,100.0,61.9,0.3,0.0,0.7,0.7,-0.5,2.2
Alexis Imberdis,JA Vichy U21,17,11.0,1.3,1.6,0.7,0.8,0.8,46.7,15.4,32.1,40.0,36.4,0.3,0.2,0.6,1.6,-3.6,2.2
Tom Foulonneau,Denain U21,12,10.5,1.9,1.8,0.6,0.7,1.1,45.8,0.0,40.7,16.7,38.8,0.5,0.1,1.0,1.0,-3.1,2.1
Nils Kormann,Blois U21,2,9.0,4.0,0.0,0.0,0.0,0.0,100.0,33.3,60.0,50.0,68.0,0.0,0.0,0.5,0.5,10.0,2.0
Sacha Lellouche,Antibes U21,11,11.9,3.7,0.5,1.4,0.0,0.5,50.0,22.2,34.7,100.0,41.5,0.6,0.0,1.3,1.5,1.8,2.0
Theo Baudrand,Stade Rochelais U21,1,16.0,3.0,1.0,0.0,0.0,1.0,0.0,50.0,33.3,-,50.0,1.0,0.0,1.0,3.0,-7.0,2.0
Malik Sylla,Saint-Chamond U21,1,15.0,2.0,2.0,2.0,1.0,1.0,33.3,-,33.3,-,33.3,1.0,0.0,3.0,3.0,-6.0,2.0
Maxence Menuet,Stade Rochelais U21,2,9.5,2.0,2.0,0.0,1.0,1.0,100.0,0.0,66.7,-,66.7,0.0,0.0,1.5,1.5,-4.5,2.0
Simon Brunel,Caen U21,2,14.0,2.0,0.5,2.5,0.0,0.5,-,50.0,50.0,50.0,69.4,0.0,0.0,2.0,2.0,-8.5,2.0
Gangaly Diallo,Blois U21,1,8.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Jad Hammoud,Champagne Basket U21,1,5.0,0.0,3.0,0.0,0.0,3.0,-,-,-,-,-,0.0,0.0,1.0,0.0,-10.0,2.0
Côme Berthelot,Quimper U21,8,15.6,2.9,4.0,0.1,1.2,2.8,24.0,50.0,25.9,53.3,34.2,0.4,0.2,2.4,2.1,-6.4,1.9
Ephraim Ballo Debat,Orléans U21,7,8.7,2.6,0.9,0.3,0.3,0.6,33.3,42.9,36.8,50.0,45.3,0.6,0.0,0.6,1.1,-0.7,1.9
Nathan Dalmasso,Antibes U21,6,10.0,3.0,1.0,0.0,0.5,0.5,37.5,50.0,43.8,-,56.2,0.2,0.0,0.8,0.8,0.3,1.8
Maxime Amvame,Antibes U21,4,8.0,0.8,1.5,0.2,1.0,0.5,14.3,-,14.3,100.0,20.2,0.8,0.2,0.2,1.2,-2.2,1.8
Timeo Merce-Guyot,Challans U21,21,17.1,4.6,1.0,1.7,0.4,0.6,32.4,24.5,28.9,48.1,36.1,0.9,0.0,1.7,1.5,-8.0,1.7
Dorian Hyacinthe Alarcon,JA Vichy U21,6,5.5,1.7,0.8,0.7,0.0,0.8,50.0,50.0,50.0,83.3,75.3,0.0,0.2,1.2,0.7,1.3,1.7
Loris Caparros,Saint-Chamond U21,10,10.3,1.2,1.4,1.1,0.2,1.2,25.0,11.1,19.0,100.0,26.9,0.5,0.0,0.8,1.6,-0.4,1.7
Eitel Nandjou,Pau-Lacq-Orthez U21,3,3.7,0.7,1.7,0.0,0.7,1.0,50.0,0.0,33.3,-,33.3,0.0,0.0,0.0,0.3,0.0,1.7
Keran Lolo,Aix-Maurienne U21,10,6.3,1.5,1.2,0.4,0.4,0.8,44.4,0.0,22.2,70.0,33.5,0.4,0.1,0.4,1.2,-0.8,1.5
Lou Tala Kamara,Denain U21,10,9.6,1.0,1.4,0.4,0.3,1.1,33.3,0.0,31.2,-,31.2,0.4,0.0,0.6,0.7,-1.0,1.5
Kaylann Balde,Challans U21,10,13.5,1.1,2.3,0.5,0.8,1.5,12.5,-,12.5,62.5,20.0,0.7,0.3,1.2,3.2,-10.0,1.3
Mahdi Von Hofmann,Nantes U21,10,7.2,1.1,0.8,0.5,0.0,0.8,60.0,33.3,50.0,50.0,56.4,0.2,0.0,0.7,0.5,-0.6,1.3
Prince-Junior Ouita,Caen U21,19,7.7,1.1,0.9,0.2,0.3,0.7,55.6,6.2,24.0,47.1,32.3,0.6,0.1,0.2,1.4,-1.8,1.3
Alpha Bah-Diallo,Aix-Maurienne U21,3,10.3,1.0,0.7,0.0,0.7,0.0,0.0,100.0,33.3,-,50.0,0.0,0.3,0.0,1.0,0.7,1.3
Ylann Lefresne,Stade Rochelais U21,5,14.0,1.6,2.2,0.8,0.6,1.6,66.7,0.0,28.6,50.0,38.0,0.4,0.0,2.0,1.8,-3.4,1.2
Elliot Bodenes,Quimper U21,20,13.7,2.4,1.2,0.9,0.3,1.0,26.7,18.2,20.0,64.3,30.9,0.6,0.0,0.9,1.7,-0.4,1.1
Tao Fenouillet,Hyères-Toulon U21,21,8.1,1.6,1.4,0.9,0.4,1.0,25.0,23.5,24.0,25.0,31.9,0.3,0.1,1.1,0.8,1.9,1.1
Soan Delsarte,Pau-Lacq-Orthez U21,10,5.9,1.4,0.7,0.2,0.4,0.3,50.0,26.7,29.4,-,41.2,0.1,0.0,0.1,0.7,0.1,1.1
Dwayne Da sylva,Stade Rochelais U21,2,7.0,2.0,0.5,0.0,0.0,0.5,66.7,-,66.7,-,66.7,0.0,0.0,1.0,3.0,3.0,1.0
Milann Heng-Souchet,Orléans U21,10,5.9,0.9,0.7,0.8,0.3,0.4,33.3,0.0,28.6,100.0,48.9,0.2,0.0,1.1,1.2,0.7,1.0
Oscar Ruel-Oudoire,Saint-Chamond U21,6,3.5,0.7,0.5,0.0,0.3,0.2,66.7,-,66.7,-,66.7,0.0,0.0,0.0,0.3,0.0,1.0
Axel Tchuimbou-Ouahou,Nantes U21,1,10.0,0.0,6.0,0.0,1.0,5.0,0.0,0.0,0.0,-,0.0,0.0,0.0,2.0,1.0,3.0,1.0
Frédéric Missamou,Roanne U21,2,1.0,0.0,0.5,0.5,0.0,0.5,-,-,-,-,-,0.0,0.0,0.0,0.0,2.0,1.0
Allen Niki Niki,Champagne Basket U21,9,12.4,4.9,1.9,0.4,0.6,1.3,57.1,14.8,33.3,44.4,39.3,0.9,0.1,2.7,1.2,-5.7,0.9
Antoine Matthiss,AS Alsace U21,8,11.0,1.9,0.8,0.6,0.4,0.4,12.5,25.0,20.8,100.0,30.7,0.2,0.1,0.5,1.8,-2.0,0.8
Stephane Bollecker,JA Vichy U21,3,4.7,2.0,0.0,0.3,0.0,0.0,0.0,-,0.0,75.0,54.3,0.0,0.0,0.3,1.3,-0.7,0.7
Baidy Diop,Champagne Basket U21,7,8.1,1.4,1.3,0.0,0.1,1.1,0.0,42.9,33.3,25.0,46.5,0.1,0.0,0.9,0.6,-3.4,0.7
Mattéo Perrin,Antibes U21,2,6.0,0.5,0.0,0.0,0.0,0.0,-,-,-,50.0,56.8,0.5,0.0,0.0,1.0,-4.0,0.5
Luca Jasnowski,Challans U21,2,2.0,0.0,0.0,0.5,0.0,0.0,-,-,-,-,-,0.0,0.0,0.0,0.5,0.0,0.5
Mathéo Balitalike,Denain U21,4,8.5,1.8,1.2,0.8,0.2,1.0,50.0,0.0,42.9,25.0,40.0,0.2,0.0,2.0,2.2,-9.2,0.2
Noah Metivier,Evreux U21,2,16.0,6.0,0.5,1.0,0.0,0.5,36.4,0.0,30.8,44.4,35.4,1.0,0.5,2.0,1.5,-4.0,0.0
Evan Bourgeois,JA Vichy U21,3,7.3,1.7,0.0,1.0,0.0,0.0,33.3,20.0,25.0,0.0,28.2,0.7,0.0,0.7,0.3,-7.3,0.0
Kaab Ahrouille,Rouen U21,8,3.9,0.2,0.4,0.0,0.2,0.1,20.0,-,20.0,-,20.0,0.0,0.0,0.1,0.8,-3.6,0.0
Mathieu Floret,Quimper U21,1,6.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,-,0.0,1.0,0.0,2.0,2.0,1.0,0.0
Thibault Gomis,Rouen U21,4,2.8,0.0,0.5,0.0,0.2,0.2,0.0,-,0.0,-,0.0,0.0,0.0,0.2,0.8,-1.2,0.0
Darell Saha,Blois U21,4,6.8,0.5,0.8,0.2,0.2,0.5,0.0,0.0,0.0,50.0,17.4,0.0,0.0,0.2,1.0,-7.2,-0.2
Yanis Boutry,Challans U21,4,5.5,0.0,0.5,0.0,0.2,0.2,-,0.0,0.0,-,0.0,0.2,0.0,0.2,0.5,-5.2,-0.2
Mohamed Addoui,Hyères-Toulon U21,3,1.7,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0,0.0,0.3,0.3,1.7,-0.3
Jaden Lavie Mienandy Cardona,Pau-Lacq-Orthez U21,2,2.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,-3.5,-0.5
Axel Perrot,Poitiers U21,6,9.5,1.8,0.3,0.7,0.0,0.3,40.0,9.1,23.8,-,26.2,0.2,0.0,1.0,1.2,-7.2,-0.7
Malik Bole,Aix-Maurienne U21,8,8.9,0.5,0.4,0.9,0.0,0.4,22.2,0.0,18.2,-,18.2,0.2,0.0,1.6,1.0,-3.6,-0.8
Kéziah Bakoula-Rivière,Antibes U21,2,12.5,0.5,1.5,0.5,0.5,1.0,0.0,0.0,0.0,50.0,7.3,0.5,0.0,0.5,2.5,-5.5,-1.0
Amadou Diouf,Caen U21,1,6.0,0.0,1.0,0.0,1.0,0.0,-,-,-,-,-,0.0,0.0,2.0,1.0,-4.0,-1.0
Sinaly Fofana,Rouen U21,1,2.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0,0.0,1.0,1.0,-2.0,-1.0
Wassim Khammar,Antibes U21,1,7.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0,0.0,1.0,1.0,1.0,-1.0
Marius Delaire,JA Vichy U21,2,3.5,0.0,0.5,0.0,0.0,0.5,-,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-7.0,-1.5
Lilian Pizzini,Saint-Chamond U21,6,4.8,0.3,0.2,0.2,0.0,0.2,0.0,0.0,0.0,50.0,10.2,0.2,0.0,0.8,0.3,-1.5,-1.7
Zackary Kane,Pau-Lacq-Orthez U21,1,7.0,2.0,0.0,0.0,0.0,0.0,33.3,-,33.3,0.0,25.8,0.0,0.0,0.0,1.0,-1.0,-2.0
Yvel Nguewo,AS Alsace U21,1,2.0,0.0,0.0,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,0.0,1.0,1.0,-5.0,-3.0
Ethan N'siete Loupe,Blois U21,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,2.0,1.0,-4.0,-4.0
